id,title,url,is_paid,price,professor,description,num_subscribers
362328,AWS Certified Solutions Architect - Associate 2019,/aws-certified-solutions-architect-associate/,True,₹11,520,Ryan Kroonenburg,Note: Our course material like the AWS certification exams are continually evolving. We have released a new version of the 2019 course with a stronger and deeper focus on architectures in general high availability and the services you do need to know in greater depth. For a limited time only we are making both the 2018 and 2019 versions of the course available to you at no extra charge. The 2019 material can be found in Sections 1 to 11 while the 2018 material can be found in Chapter 12 and beyond. We will deprecate the 2018 material at the end of May 2019.,426131
625204,The Web Developer Bootcamp,/the-web-developer-bootcamp/,True,₹12,800,Colt Steele,Just updated to include Bootstrap 4.1.3!,433759
567828,Complete Python Bootcamp: Go from zero to hero in Python 3,/complete-python-bootcamp/,True,₹12,480,Jose Portilla,Become a Python Programmer and learn one of employer's most requested skills of 2018!,614007
756150,Angular 8 (formerly Angular 2) - The Complete Guide,/the-complete-guide-to-angular-2/,True,₹12,160,Maximilian Schwarzmüller,This course starts from scratch you neither need to know Angular 1 nor Angular 2!,268832
950390,Machine Learning A-Z™: Hands-On Python & R In Data Science,/machinelearning/,True,₹12,800,Kirill Eremenko,Interested in the field of Machine Learning? Then this course is for you!,425528
533682,Java Programming Masterclass for Software Developers,/java-the-complete-java-developer-course/,True,₹12,480,Tim Buchalka,You’ve just stumbled upon the most complete in-depth Java programming course online. With over 260000 students enrolled and tens of thousands of 5 star reviews to date these comprehensive java tutorials cover everything you’ll ever need.,333693
874012,The Ultimate Drawing Course - Beginner to Advanced,/the-ultimate-drawing-course-beginner-to-advanced/,True,₹9,600,Jaysen Batchelor,Join over 260000 learning student and start gaining the drawing skills you've always wanted.,284957
793796,Microsoft Excel - Excel from Beginner to Advanced,/microsoft-excel-2013-from-beginner-to-advanced-and-beyond/,True,₹9,600,Kyle Pew,Microsoft Excel all in One Package,212627
258316,Complete C# Unity Developer 2D: Learn to Code Making Games,/unitycourse/,True,₹12,480,Ben Tristem,November 2018 - We have completely updated the first 6 projects to Unity 2018! The remaining projects are in the process of being replaced with new videos on a daily basis.,300040
914296,The Complete Digital Marketing Course - 12 Courses in 1,/learn-digital-marketing-course/,True,₹12,800,Rob Percival,Join 200000+ students in the bestselling digital marketing course on Udemy!,273093
764164,The Complete Web Developer Course 2.0,/the-complete-web-developer-course-2/,True,₹12,800,Rob Percival,You’re here because you’re ready to start building professional career-boosting websites.,220101
705264,Modern React with Redux [2019 Update],/react-redux/,True,₹11,520,Stephen Grider,Course Last Updated December 2018 for React v16.6.3 and Redux v4.0.1!  All content is brand new!  Update includes detailed videos on the new React Hooks system.,152814
